id,symbol,last_close,signal,trend,rsi_14,rsi_overbought,rsi_oversold,ema_50,ema_200,golden_cross,death_cross,updated_at
79,BTG,20.89999962,NEUTRAL,BULLISH,52.61,0,0,20.71668436,19.37738236,FALSE,FALSE,54:55.9
82,MOSHI,37.5,NEUTRAL,BULLISH,51.19,0,0,36.88706204,36.62155205,FALSE,FALSE,54:55.9
83,ERW,2.96000004,NEUTRAL,BULLISH,48.79,0,0,2.88905129,2.65914915,FALSE,FALSE,54:55.9
84,CENTEL,35.25,NEUTRAL,BULLISH,48.09,0,0,34.71743065,32.92002275,FALSE,FALSE,54:55.9
86,BA,17.10000038,NEUTRAL,BULLISH,46.64,0,0,16.527808,15.15816295,FALSE,FALSE,54:55.9
87,STECON,17.39999962,NEUTRAL,BULLISH,53.37,0,0,15.91561632,11.26032738,FALSE,FALSE,54:55.9
93,FORTH,14.39999962,NEUTRAL,BULLISH,46.38,0,0,13.79886681,9.94234955,FALSE,FALSE,54:55.9
94,KISS,3.55999994,NEUTRAL,BULLISH,52.98,0,0,3.41673671,3.1335053,FALSE,FALSE,54:55.9
100,PLANB,4.73999977,NEUTRAL,BULLISH,60.25,0,0,4.36645833,4.34141146,FALSE,FALSE,54:55.9
101,^SET,1576.25,NEUTRAL,BULLISH,53.2,0,0,1371.719906,1342.005781,FALSE,FALSE,54:55.9
104,^GSPC,7503.850098,NEUTRAL,BULLISH,55.4,0,0,7356.693127,6983.755189,FALSE,FALSE,54:55.9
105,^IXIC,25818.68945,NEUTRAL,BULLISH,48.72,0,0,25598.18329,23922.9329,FALSE,FALSE,54:55.9
106,^DJI,52925.14844,NEUTRAL,BULLISH,68.88,0,0,50848.20343,48552.50072,FALSE,FALSE,54:55.9
107,^RUT,2982.48999,NEUTRAL,BULLISH,55.43,0,0,2888.504576,2647.491594,FALSE,FALSE,54:55.9
9,KBANK,228,SELL (RSI Overbought),BULLISH,71.99,1,0,207.4372793,190.7642984,FALSE,FALSE,54:55.9
11,SCB,152.5,SELL (RSI Overbought),BULLISH,72.81,1,0,142.1490517,136.1072496,FALSE,FALSE,54:55.9
14,KTB,39.25,SELL (RSI Overbought),BULLISH,73.29,1,0,35.87680655,30.95422222,FALSE,FALSE,54:55.9
20,TTB,2.5999999,SELL (RSI Overbought),BULLISH,81.33,1,0,2.37753003,2.14554413,FALSE,FALSE,54:55.9
29,KTC,36.75,SELL (RSI Overbought),BULLISH,81.08,1,0,31.72139028,29.76746775,FALSE,FALSE,54:55.9
31,TISCO,121.5,SELL (RSI Overbought),BULLISH,72.16,1,0,115.8719495,110.2875668,FALSE,FALSE,54:55.9
37,BGRIM,18.60000038,SELL (RSI Overbought),BULLISH,75.05,1,0,15.45264523,14.09184072,FALSE,FALSE,54:55.9
39,RATCH,34.75,SELL (RSI Overbought),BULLISH,74.53,1,0,31.03705808,29.32441175,FALSE,FALSE,54:55.9
47,KKP,102,SELL (RSI Overbought),BULLISH,70.45,1,0,90.70383046,75.03100779,FALSE,FALSE,54:55.9
63,TCAP,71.25,SELL (RSI Overbought),BULLISH,84.57,1,0,62.90066168,57.22298424,FALSE,FALSE,54:55.9
